Fecha,Producto,Esquema,Plazo,Tasa,Aforo,Destino,Gastos notariales,Gastos Iniciales,Enganche,CAT,Comision,Avaluo,Pago
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  9.59%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 12.9% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 13.86
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  9.99%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 13.3% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 14.07
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  10.35%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 13.7% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 14.27
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  9.59%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 12.8% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 13.86
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  9.99%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 13.2% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 14.07
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  10.35%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 13.6% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 14.27
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  9.59%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 12.4% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 13.86
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  9.99%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 12.8% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 14.07
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  10.35%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 13.2% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 14.27
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  9.59%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 12.3% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 13.86
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  9.99%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 12.8% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 14.07
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  10.35%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 13.2% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 14.27
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  9.59%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 12.3% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 13.86
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  9.99%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 12.7% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 14.07
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 9,  10.35%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 13.1% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 14.27
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  9.59%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 12.8% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 12.99
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  9.99%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 13.2% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 13.21
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  10.35%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 13.6% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 13.41
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  9.59%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 12.7% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 12.99
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  9.99%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 13.1% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 13.21
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  10.35%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 13.5% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 13.41
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  9.59%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 12.3% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 12.99
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  9.99%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 12.8% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 13.21
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  10.35%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 13.2% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 13.41
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  9.59%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 12.3% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 12.99
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  9.99%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 12.7% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 13.21
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  10.35%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 13.1% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 13.41
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  9.59%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 12.2% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 12.99
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  9.99%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 12.6% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 13.21
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 10,  10.35%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 13.0% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 13.41
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  9.59%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 12.7% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 12.29
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  9.99%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 13.1% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 12.51
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  10.35%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 13.5% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 12.72
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  9.59%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 12.6% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 12.29
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  9.99%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 13.0% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 12.51
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  10.35%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 13.4% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 12.72
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  9.59%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 12.3% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 12.29
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  9.99%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 12.7% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 12.51
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  10.35%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 13.1% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 12.72
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  9.59%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 12.2% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 12.29
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  9.99%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 12.7% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 12.51
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  10.35%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 13.0% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 12.72
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  9.59%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 12.2% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 12.29
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  9.99%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 12.6% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 12.51
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 11,  10.35%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 13.0% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 12.72
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  9.59%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 12.6% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 11.72
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  9.99%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 13.0% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 11.95
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  10.35%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 13.4% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 12.15
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  9.59%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 12.5% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 11.72
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  9.99%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 13.0% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 11.95
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  10.35%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 13.4% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 12.15
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  9.59%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 12.2% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 11.72
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  9.99%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 12.7% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 11.95
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  10.35%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 13.1% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 12.15
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  9.59%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 12.2% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 11.72
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  9.99%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 12.6% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 11.95
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  10.35%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 13.0% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 12.15
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  9.59%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 12.1% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 11.72
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  9.99%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 12.5% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 11.95
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 12,  10.35%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 12.9% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 12.15
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  9.59%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 12.5% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 11.24
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  9.99%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 13.0% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 11.47
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  10.35%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 13.4% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 11.69
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  9.59%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 12.4% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 11.24
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  9.99%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 12.9% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 11.47
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  10.35%,75%,Comprar tu Casa," $ 70,000.00"," $ 354,141.55"," $ 250,000.00", 13.3% Sin Iva. Informativo.," $ 7,736.55"," $ 2,750.00", $ 11.69
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  9.59%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 12.2% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 11.24
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  9.99%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 12.6% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 11.47
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  10.35%,80%,Comprar tu Casa," $ 70,000.00"," $ 280,750.00"," $ 200,000.00", 13.0% Sin Iva. Informativo.," $ 8,000.00"," $ 2,750.00", $ 11.69
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  9.59%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 12.1% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 11.24
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  9.99%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 12.6% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 11.47
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  10.35%,85%,Comprar tu Casa," $ 70,000.00"," $ 231,250.00"," $ 150,000.00", 13.0% Sin Iva. Informativo.," $ 8,500.00"," $ 2,750.00", $ 11.69
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  9.59%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 12.1% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 11.24
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  9.99%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 12.5% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 11.47
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 13,  10.35%,90%,Comprar tu Casa," $ 70,000.00"," $ 181,750.00"," $ 100,000.00", 12.9% Sin Iva. Informativo.," $ 9,000.00"," $ 2,750.00", $ 11.69
 11/07/2019, Hipoteca Santander, Tasa Fija y Pagos Fijos, 14,  9.59%,70%,Comprar tu Casa," $ 70,000.00"," $ 402,048.78"," $ 300,000.00", 12.5% Sin Iva. Informativo.," $ 7,220.78"," $ 2,750.00", $ 10.84
